,,,,Date,01/01/2018,01/06/2018
,,,,Timestamp,0,0.5
name,compartment,subcompartment," ""unit""",,,
Aluminium,Raw,in ground,kg / year,,,
Anhydrite,Raw,in ground,kg / year,,,
Argon,Raw,in air,kg / year,,,
Barite,Raw,in ground,kg / year,,,
Basalt,Raw,in ground,kg / year,,,
Borax,Raw,in ground,kg / year,,,
Bromine,Raw,in water,kg / year,,,
Cadmium,Raw,in ground,kg / year,,,
Calcite,Raw,in ground,kg / year,,,
"Carbon dioxide, in air",Raw,in air,kg / year,,,
"Carbon, organic, in soil or biomass stock",Raw,in ground,kg / year,,,
Carnallite,Raw,in water,kg / year,,,
Cerium,Raw,in ground,kg / year,,,
Chromium,Raw,in ground,kg / year,,,
Chrysotile,Raw,in ground,kg / year,,,
Cinnabar,Raw,in ground,kg / year,,,
"Clay, bentonite",Raw,in ground,kg / year,,,
"Clay, unspecified",Raw,in ground,kg / year,,,
"Coal, brown",Raw,in ground,kg / year,,,
"Coal, hard",Raw,in ground,kg / year,,,
Cobalt,Raw,in ground,kg / year,,,
"Cobalt, Co 5.0E-2%, in mixed ore, in ground",Raw,in ground,kg / year,,,
Colemanite,Raw,in ground,kg / year,,,
"Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore",Raw,in ground,kg / year,,,
"Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore",Raw,in ground,kg / year,,,
"Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore",Raw,in ground,kg / year,,,
"Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore",Raw,in ground,kg / year,,,
"Copper, 1.13% in sulfide, Cu 0.76% and Ni 0.76% in crude ore",Raw,in ground,kg / year,,,
"Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore",Raw,in ground,kg / year,,,
"Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore",Raw,in ground,kg / year,,,
"Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore",Raw,in ground,kg / year,,,
"Copper, Cu 0.2%, in mixed ore",Raw,in ground,kg / year,,,
"Copper, Cu 0.38%, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Pb 0.014%, in ore",Raw,in ground,kg / year,,,
