#model,nryears,mean rel. error (permil),a0,a1,a2,a3,tau1,tau2,tau3
NCAR CSM1.4                   ,    289, 1.05077e+01, 8.12770e-08, 3.66501e-01, 3.54541e-01, 2.78958e-01, 1.69036e+03, 2.83341e+01, 5.30856e+00
HadGEM2-ES                    ,    101, 3.95499e+01, 4.34024e-01, 2.01484e-01, 1.84696e-01, 1.79796e-01, 2.30689e+01, 2.30686e+01, 3.92183e+00
MPI-ESM                       ,    101, 1.62384e+01, 4.09458e-08, 5.84673e-01, 4.03835e-01, 1.14920e-02, 1.79222e+02, 9.30188e+00, 2.08626e+00
Bern3D-LPJ (reference)        ,   1000, 4.57064e+00, 1.85357e-09, 5.15004e-01, 2.63095e-01, 2.21901e-01, 1.95501e+03, 4.58309e+01, 3.87140e+00
Bern3D-LPJ (ensemble median)  ,    585, 2.99895e+00, 2.79585e-01, 2.38190e-01, 2.38194e-01, 2.44030e-01, 2.76166e+02, 3.84449e+01, 4.92789e+00
Bern2.5D-LPJ                  ,   1000, 8.97738e+00, 2.36182e-01, 9.86550e-02, 3.85051e-01, 2.80112e-01, 2.32060e+02, 5.85029e+01, 2.58649e+00
CLIMBER2-LPJ                  ,   1000, 2.01417e+01, 2.31808e-01, 2.15532e-01, 6.00716e-02, 4.92588e-01, 2.72635e+02, 2.72635e+02, 6.69203e+00
DCESS                         ,   1000, 3.69191e+00, 2.15938e-01, 2.91205e-01, 2.41039e-01, 2.51819e-01, 3.79917e+02, 3.63133e+01, 3.39821e+00
GENIE (ensemble median)       ,   1000, 4.85851e+00, 2.14468e-01, 2.49017e-01, 1.92417e-01, 3.44097e-01, 2.70068e+02, 3.93231e+01, 4.30551e+00
LOVECLIM                      ,   1000, 5.78065e+01, 8.20680e-09, 3.60847e-01, 4.48756e-01, 1.90397e-01, 1.59237e+03, 2.17546e+01, 2.31171e+00
MESMO                         ,   1000, 1.13121e+00, 2.84833e-01, 2.93789e-01, 2.38243e-01, 1.83135e-01, 4.54262e+02, 2.50004e+01, 2.01397e+00
UVic2.9                       ,   1000, 3.66467e+00, 3.18612e-01, 1.74787e-01, 1.92120e-01, 3.14480e-01, 3.04635e+02, 2.65602e+01, 3.80036e+00
ACC2                          ,    985, 4.21269e+00, 1.77855e-01, 1.65350e-01, 3.79637e-01, 2.77157e-01, 3.86187e+02, 3.68939e+01, 3.72353e+00
Bern-SAR                      ,   1000, 3.36402e+00, 1.99428e-01, 1.76160e-01, 3.45213e-01, 2.79198e-01, 3.33144e+02, 3.96896e+01, 4.10990e+00
MAGICC6 (ensemble median)     ,    604, 1.21071e+00, 2.05148e-01, 2.53261e-01, 3.31761e-01, 2.09831e-01, 5.96072e+02, 2.19675e+01, 2.99543e+00
TOTEM2                        ,    984, 2.05549e+00, 1.19535e-05, 2.03149e-01, 6.99459e-01, 9.73804e-02, 8.57652e+04, 1.11772e+02, 1.90248e-02
multi-model mean              ,   1000, 5.61481e+00, 2.17278e-01, 2.24037e-01, 2.82381e-01, 2.76303e-01, 3.94409e+02, 3.65393e+01, 4.30365e+00
